,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000001.SH,20210402,3484.3924,3472.6276,3487.5862,3462.8321,3466.3315,18.0609,0.521,262654873.0,317953200.8
1,000001.SH,20210401,3466.3315,3444.8102,3470.0311,3438.8255,3441.9115,24.42,0.7095,275244295.0,292651912.3
2,000001.SH,20210331,3441.9115,3452.2078,3452.2078,3420.8321,3456.6766,-14.7651,-0.4271,283049261.0,314174120.2
3,000001.SH,20210330,3456.6766,3432.5288,3457.6345,3423.3154,3435.2958,21.3808,0.6224,285423081.0,331625651.2
4,000001.SH,20210329,3435.2958,3429.6322,3449.8338,3409.8868,3418.3267,16.9691,0.4964,284824243.0,327944119.7
5,000001.SH,20210326,3418.3267,3373.3171,3423.2231,3373.3171,3363.5915,54.7352,1.6273,274614987.0,322408619.9
6,000001.SH,20210325,3363.5915,3355.0706,3382.226,3344.9695,3367.0606,-3.4691,-0.103,270676097.0,290223442.6
7,000001.SH,20210324,3367.0606,3394.1283,3415.2949,3362.1847,3411.5088,-44.4482,-1.3029,317398697.0,344800038.2
8,000001.SH,20210323,3411.5088,3445.3408,3445.4159,3390.0477,3443.4392,-31.9304,-0.9273,326389409.0,343477167.7
9,000001.SH,20210322,3443.4392,3406.1227,3443.6596,3404.2341,3404.6634,38.7758,1.1389,312559084.0,332535035.8
10,000001.SH,20210319,3404.6634,3423.8733,3439.5236,3389.2929,3463.0681,-58.4047,-1.6865,309161716.0,339992292.8
11,000001.SH,20210318,3463.0681,3449.6413,3478.1447,3449.3774,3445.5509,17.5172,0.5084,284403891.0,316529174.1
12,000001.SH,20210317,3445.5509,3435.7319,3454.0562,3410.2815,3446.7334,-1.1825,-0.0343,280059818.0,306630472.1
13,000001.SH,20210316,3446.7334,3424.6524,3448.8829,3406.1746,3419.9456,26.7878,0.7833,316668747.0,332388484.7
14,000001.SH,20210315,3419.9456,3441.882,3457.4892,3392.5089,3453.0777,-33.1321,-0.9595,367813293.0,381646491.3
15,000001.SH,20210312,3453.0777,3447.2033,3454.5064,3417.2389,3436.8313,16.2464,0.4727,358027035.0,381964281.2
16,000001.SH,20210311,3436.8313,3369.9024,3436.8313,3369.9024,3357.7372,79.0941,2.3556,322112044.0,369805365.5
17,000001.SH,20210310,3357.7372,3389.8388,3397.0251,3354.823,3359.292,-1.5548,-0.0463,299749166.0,339571691.5
18,000001.SH,20210309,3359.292,3415.3391,3429.1503,3328.3119,3421.4141,-62.1221,-1.8157,407652539.0,456196190.3
19,000001.SH,20210308,3421.4141,3524.983,3542.3039,3421.2153,3501.9867,-80.5726,-2.3008,387047954.0,453859203.3
20,000001.SH,20210305,3501.9867,3463.3086,3523.5682,3456.6668,3503.4916,-1.5049,-0.043,356409223.0,408849901.9
21,000001.SH,20210304,3503.4916,3546.6406,3552.2024,3487.3757,3576.9045,-73.4129,-2.0524,393616120.0,462233734.2
22,000001.SH,20210303,3576.9045,3500.1576,3577.6218,3498.7192,3508.5912,68.3133,1.947,347656846.0,415490345.7
23,000001.SH,20210302,3508.5912,3566.852,3566.852,3485.3635,3551.3998,-42.8086,-1.2054,339830486.0,427680453.1
24,000001.SH,20210301,3551.3998,3531.4802,3552.5665,3511.9888,3509.0804,42.3194,1.206,315487526.0,402477044.2
25,000001.SH,20210226,3509.0804,3514.5648,3550.4055,3500.7036,3585.0458,-75.9654,-2.119,333280067.0,424485913.9
26,000001.SH,20210225,3585.0458,3595.5424,3608.5568,3568.4735,3564.0799,20.9659,0.5883,366232299.0,444735017.1
27,000001.SH,20210224,3564.0799,3638.9359,3645.6474,3531.5936,3636.3573,-72.2774,-1.9876,362158952.0,484430414.6
28,000001.SH,20210223,3636.3573,3617.7013,3672.1511,3617.7013,3642.4449,-6.0876,-0.1671,398873174.0,479631810.2
29,000001.SH,20210222,3642.4449,3707.1912,3717.2669,3642.4449,3696.168,-53.7231,-1.4535,488821478.0,599323102.1
30,000001.SH,20210219,3696.168,3661.7834,3699.6502,3634.0149,3675.3571,20.8109,0.5662,361059804.0,484990205.8
31,000001.SH,20210218,3675.3571,3721.0865,3731.687,3663.6637,3655.088,20.2691,0.5545,340309065.0,483546564.6
32,000001.SH,20210210,3655.088,3612.6125,3662.7655,3612.5049,3603.489,51.599,1.4319,257940824.0,392643389.6
33,000001.SH,20210209,3603.489,3539.7726,3604.0112,3528.6755,3532.4467,71.0423,2.0111,253821760.0,371567972.5
34,000001.SH,20210208,3532.4467,3504.5631,3542.2075,3492.1286,3496.3329,36.1138,1.0329,249799619.0,359187319.2
35,000001.SH,20210205,3496.3329,3509.4874,3536.5417,3492.9624,3501.8592,-5.5263,-0.1578,290146174.0,397391919.6
36,000001.SH,20210204,3501.8592,3503.7785,3524.7219,3465.7706,3517.308,-15.4488,-0.4392,298834854.0,418742552.8
37,000001.SH,20210203,3517.308,3531.149,3544.0092,3508.5069,3533.6849,-16.3769,-0.4635,297351716.0,413731472.0
38,000001.SH,20210202,3533.6849,3510.8084,3535.502,3495.5681,3505.2836,28.4013,0.8102,264540630.0,384127851.1
39,000001.SH,20210201,3505.2836,3477.1715,3506.3889,3469.875,3483.0692,22.2144,0.6378,277567901.0,371473066.3
40,000001.SH,20210129,3483.0692,3521.7175,3531.5981,3446.5471,3505.1759,-22.1067,-0.6307,293662664.0,416528621.0
41,000001.SH,20210128,3505.1759,3534.6685,3549.544,3496.8788,3573.3412,-68.1653,-1.9076,270862461.0,391574388.0
42,000001.SH,20210127,3573.3412,3567.5485,3578.7968,3546.492,3569.429,3.9122,0.1096,264107161.0,396270389.6
43,000001.SH,20210126,3569.429,3610.9686,3610.9686,3564.7415,3624.2381,-54.8091,-1.5123,278139884.0,436326664.6
44,000001.SH,20210125,3624.2381,3605.3611,3637.1002,3591.0204,3606.7496,17.4885,0.4849,327341070.0,527257347.7
45,000001.SH,20210122,3606.7496,3616.5401,3616.5401,3585.0339,3621.2641,-14.5145,-0.4008,324463084.0,485452192.4
46,000001.SH,20210121,3621.2641,3590.9247,3636.2444,3585.8017,3583.092,38.1721,1.0653,327466995.0,469855226.6
47,000001.SH,20210120,3583.092,3564.121,3589.9624,3556.4425,3566.3814,16.7106,0.4686,272271661.0,397144766.2
48,000001.SH,20210119,3566.3814,3596.3564,3603.1477,3553.0236,3596.2237,-29.8423,-0.8298,323439541.0,467402582.4
49,000001.SH,20210118,3596.2237,3554.7977,3608.7665,3544.2614,3566.3778,29.8459,0.8369,301652565.0,451740700.4
